manufacturer,model_name,month,year,units_sold
宝沃汽车,宝沃BX5,1,2018,2389,http://www.myhomeok.com/xiaoliang/changshang/1_10.htm
宝沃汽车,宝沃BX7,1,2018,828,http://www.myhomeok.com/xiaoliang/changshang/1_10.htm
宝沃汽车,宝沃BX6,1,2018,0,http://www.myhomeok.com/xiaoliang/changshang/1_10.htm
宝沃汽车,宝沃BX5,12,2017,3710,http://www.myhomeok.com/xiaoliang/changshang/1_11.htm
宝沃汽车,宝沃BX7,12,2017,1118,http://www.myhomeok.com/xiaoliang/changshang/1_11.htm
宝沃汽车,宝沃BX6,12,2017,0,http://www.myhomeok.com/xiaoliang/changshang/1_11.htm
宝沃汽车,宝沃BX5,11,2017,3669,http://www.myhomeok.com/xiaoliang/changshang/1_12.htm
宝沃汽车,宝沃BX7,11,2017,1109,http://www.myhomeok.com/xiaoliang/changshang/1_12.htm
宝沃汽车,宝沃BX6,11,2017,0,http://www.myhomeok.com/xiaoliang/changshang/1_12.htm
宝沃汽车,宝沃BX5,10,2017,3269,http://www.myhomeok.com/xiaoliang/changshang/1_13.htm
宝沃汽车,宝沃BX7,10,2017,808,http://www.myhomeok.com/xiaoliang/changshang/1_13.htm
宝沃汽车,宝沃BX6,10,2017,0,http://www.myhomeok.com/xiaoliang/changshang/1_13.htm
宝沃汽车,宝沃BX5,11,2018,1660,http://www.myhomeok.com/xiaoliang/changshang/1_14.htm
宝沃汽车,宝沃BX7,11,2018,853,http://www.myhomeok.com/xiaoliang/changshang/1_14.htm
宝沃汽车,宝沃BX6,11,2018,5,http://www.myhomeok.com/xiaoliang/changshang/1_14.htm
宝沃汽车,宝沃BX5,12,2018,1844,http://www.myhomeok.com/xiaoliang/changshang/1_15.htm
宝沃汽车,宝沃BX7,12,2018,417,http://www.myhomeok.com/xiaoliang/changshang/1_15.htm
宝沃汽车,宝沃BX6,12,2018,61,http://www.myhomeok.com/xiaoliang/changshang/1_15.htm
宝沃汽车,宝沃BX5,1,2019,2989,http://www.myhomeok.com/xiaoliang/changshang/1_16.htm
宝沃汽车,宝沃BX7,1,2019,1508,http://www.myhomeok.com/xiaoliang/changshang/1_16.htm
宝沃汽车,宝沃BX6,1,2019,133,http://www.myhomeok.com/xiaoliang/changshang/1_16.htm
宝沃汽车,宝沃BX5,2,2019,1536,http://www.myhomeok.com/xiaoliang/changshang/1_17.htm
宝沃汽车,宝沃BX7,2,2019,801,http://www.myhomeok.com/xiaoliang/changshang/1_17.htm
宝沃汽车,宝沃BX6,2,2019,0,http://www.myhomeok.com/xiaoliang/changshang/1_17.htm
宝沃汽车,宝沃BX5,3,2019,1000,http://www.myhomeok.com/xiaoliang/changshang/1_18.htm
宝沃汽车,宝沃BX6,3,2019,0,http://www.myhomeok.com/xiaoliang/changshang/1_18.htm
宝沃汽车,宝沃BX7,3,2019,0,http://www.myhomeok.com/xiaoliang/changshang/1_18.htm
宝沃汽车,宝沃BX5,4,2019,1000,http://www.myhomeok.com/xiaoliang/changshang/1_19.htm
宝沃汽车,宝沃BX6,4,2019,0,http://www.myhomeok.com/xiaoliang/changshang/1_19.htm
宝沃汽车,宝沃BX7,4,2019,0,http://www.myhomeok.com/xiaoliang/changshang/1_19.htm
宝沃汽车,宝沃BX5,5,2019,5276,http://www.myhomeok.com/xiaoliang/changshang/1_20.htm
宝沃汽车,宝沃BX7,5,2019,1877,http://www.myhomeok.com/xiaoliang/changshang/1_20.htm
宝沃汽车,宝沃BX6,5,2019,0,http://www.myhomeok.com/xiaoliang/changshang/1_20.htm
